ID,Outline Level,Task Name,Duration,Start,Finish,Predecessors,Resource Names,Stakeholder,Percent Complete
25,3,Setup backend (Express TypeScript Prisma PostgreSQL),3d,2026-03-02,2026-03-04,23,Edgar Tiburcio Gomez Moran,,0
26,3,Autenticación JWT y autorización RBAC,3d,2026-03-05,2026-03-09,25,Edgar Tiburcio Gomez Moran,,0
27,3,Endpoints módulo pacientes y usuarios,4d,2026-03-10,2026-03-13,26,Edgar Tiburcio Gomez Moran,,0
28,3,Endpoints módulo citas,3d,2026-03-16,2026-03-18,27,Edgar Tiburcio Gomez Moran,,0
29,3,Endpoints expedientes médicos,3d,2026-03-16,2026-03-18,27,Edgar Tiburcio Gomez Moran,,0
30,3,Revisión con Stakeholders/Profesores - MVP (Prototipo funcional),1d,2026-03-19,2026-03-19,"28,29",Edgar Tiburcio Gomez Moran,Profesores; Dept. Psicología; Dept. Enfermería,0
31,3,Endpoints medicamentos procedimientos enfermería,4d,2026-03-20,2026-03-25,30,Edgar Tiburcio Gomez Moran,,0
32,3,Endpoints terapia sesiones psicometría interconsultas,4d,2026-03-20,2026-03-25,30,Edgar Tiburcio Gomez Moran,,0
33,3,Endpoints reportes auditoría notificaciones,3d,2026-03-26,2026-03-30,"31,32",Edgar Tiburcio Gomez Moran,,0
34,3,Tests unitarios e integración backend,3d,2026-03-31,2026-04-02,33,Edgar Tiburcio Gomez Moran; Daniela Mayte Guevara Castillo; Carlos Alexis Rodriguez Garcia,,0
35,3,Setup frontend (React Vite Tailwind) y estructura,3d,2026-03-02,2026-03-04,23,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,0
36,3,Componentes de autenticación y layout (UI),4d,2026-03-05,2026-03-10,35,Juan Enrique Castillo Ontiveros,,0
37,3,Módulo pacientes y usuarios (UI),4d,2026-03-11,2026-03-16,36,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,0
38,3,Módulo citas y expedientes médicos (UI),4d,2026-03-17,2026-03-20,37,Orlando de Jesús Casas Dávila,,0
39,3,Módulos medicamentos terapia reportes (UI),4d,2026-03-17,2026-03-20,37,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,0
40,3,Integración Electron y empaquetado,3d,2026-03-23,2026-03-25,39,Orlando de Jesús Casas Dávila,,0
41,3,Tests E2E frontend,2d,2026-03-26,2026-03-27,40,Daniela Mayte Guevara Castillo; Carlos Alexis Rodriguez Garcia,,0
42,3,Revisión con Stakeholders/Profesores - Desarrollo completo,1d,2026-04-03,2026-04-03,"34,41",Edgar Tiburcio Gomez Moran,Profesores; Tech Lead; Dirección Académica,0
43,2,Fase 4: Testing y QA,,2026-04-04,2026-04-08,,Daniela Mayte Guevara Castillo; Carlos Alexis Rodriguez Garcia,,0
44,3,Pruebas de rendimiento y carga,2d,2026-04-04,2026-04-05,42,Daniela Mayte Guevara Castillo,,0
45,3,Auditoría de seguridad (revisión OWASP),2d,2026-04-04,2026-04-05,42,Edgar Tiburcio Gomez Moran; Carlos Alexis Rodriguez Garcia,,0
46,3,Pruebas de usabilidad con usuarios,2d,2026-04-06,2026-04-07,44,Daniela Mayte Guevara Castillo; Carlos Alexis Rodriguez Garcia; Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,0
47,3,Corrección de bugs críticos y optimización,2d,2026-04-07,2026-04-08,"44,45,46",Edgar Tiburcio Gomez Moran; Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila; Daniela Mayte Guevara Castillo; Carlos Alexis Rodriguez Garcia,,0
48,3,Revisión con Stakeholders/Profesores - QA y aceptación,1d,2026-04-08,2026-04-08,47,Edgar Tiburcio Gomez Moran,Profesores; QA; Stakeholders EHR,0
49,2,Fase 5: Despliegue y Cierre,,2026-04-09,2026-04-10,,Edgar Tiburcio Gomez Moran,,0
50,3,Configuración de ambiente de producción,1d,2026-04-09,2026-04-09,48,Edgar Tiburcio Gomez Moran,,0
51,3,Documentación de usuario y manual de administración,2d,2026-04-09,2026-04-10,48,Juan Enrique Castillo Ontiveros;Edgar Tiburcio Gomez Moran,,0
52,3,Capacitación a usuarios (Dept. Psicología y Enfermería),1d,2026-04-10,2026-04-10,"50,51",Edgar Tiburcio Gomez Moran;Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,Dept. Psicología; Dept. Enfermería,0
53,3,Transferencia de conocimiento y cierre administrativo,1d,2026-04-10,2026-04-10,52,Edgar Tiburcio Gomez Moran,Profesores; TI institucional,0
54,3,Entrega final del proyecto (10 Abril 2026),1d,2026-04-10,2026-04-10,53,Edgar Tiburcio Gomez Moran,Profesores; Sponsor; Dirección Académica,0
